system:index,date,ice,ship,unknown,water,.geo
0,1483228800000,2.7374404799999997E7,0.0,6443832.39215686,148512.91372549022,
1,1483315200000,2.3688117392156858E7,0.0,3567920.8784313733,188688.09019607844,
2,1483401600000,7561908.49019605,19.0,7811510.176470575,196424.21960784317,
3,1483488000000,1.011259557647059E7,0.0,1076691.043137255,102947.20784313725,
4,1483574400000,2506900.0666666664,0.0,321099.24705882353,58399.5294117647,
5,1483660800000,2.870133379999998E7,32.0,1.2351740505882345E7,128560.69019607843,
6,0,0,0,0,0,
7,1483833600000,2.259613026274511E7,2.0,4776968.901960784,67107.43529411765,
8,1483920000000,2.1949167458823517E7,30.0,1.1081504596078431E7,53695.643137254905,
9,1484006400000,9964974.549019607,0.0,1241718.380392157,89956.26666666666,
10,0,0,0,0,0,
11,0,0,0,0,0,
12,1484265600000,2.7972937815686278E7,0.0,5894899.847058823,103518.81960784315,
13,0,0,0,0,0,
14,1484438400000,1.5730143694117647E7,7.0,3331654.690196077,127623.30588235296,
15,0,0,0,0,0,
16,1484611200000,2399241.1019607843,0.0,432964.02745098044,3951.086274509804,
17,1484697600000,3.0093812623529404E7,0.0,1.096451756470587E7,132363.69411764707,
18,0,0,0,0,0,
19,1484870400000,2.6441521509803914E7,2.0,9611937.345098037,30131.29803921569,
20,1484956800000,3.7182038486274496E7,2.0,7330993.5411764635,108934.74901960784,
21,1485043200000,9591728.470588235,0.0,1609359.9725490194,78239.67450980394,
22,1485129600000,2565498.6313725486,0.0,272531.43137254904,3888.901960784314,
23,1485216000000,3.5911163462745085E7,0.0,4963150.937254904,337363.1490196081,
24,1485302400000,2.442276796470587E7,0.0,9291732.66274509,251309.29019607857,
25,1485388800000,2.5533285890196078E7,0.0,1890580.1411764706,29581.788235294116,
26,1485475200000,1.0777139015686253E7,25.0,3651067.619607837,9886.290196078431,
27,1485561600000,1.0728977101960786E7,0.0,479750.2627450981,102160.66666666669,
28,1485648000000,2459074.090196078,0.0,389023.9294117647,3203.2078431372547,
29,1485734400000,1.850313266666666E7,4.0,8582455.658823516,10918.32156862745,
30,0,0,0,0,0,
31,1485907200000,2.3600657886274513E7,0.0,3791401.6627450977,95904.47843137255,
32,0,0,0,0,0,
33,1486080000000,1.0129377329411766E7,0.0,1063968.894117647,87428.85490196079,
34,0,0,0,0,0,
35,0,0,0,0,0,
36,1486339200000,2.69574811607843E7,3.0,6854483.9098039195,173532.38823529411,
37,0,0,0,0,0,
38,0,0,0,0,0,
39,1486598400000,9216641.913725484,0.0,4032864.5686274506,7130.678431372549,
40,0,0,0,0,0,
41,0,0,0,0,0,
42,0,0,0,0,0,
43,1486944000000,0,0,0,0,
44,0,0,0,0,0,
45,1487116800000,9556434.454901962,0.0,1648122.3960784313,111888.89411764705,
46,1487203200000,2626208.85490196,0.0,204895.98823529415,64432.509803921566,
47,0,0,0,0,0,
48,1487376000000,2.2534731392156858E7,0.0,1.0937753305882348E7,506186.9019607843,
49,1487462400000,2.2774546074509803E7,0.0,4184672.337254902,479669.2156862745,
50,0,0,0,0,0,
51,1487635200000,9691750.925490197,0.0,1527578.4235294117,81859.26666666666,
52,0,0,0,0,0,
53,1487808000000,1.6227170172549011E7,36.0,1.0840925105882348E7,14218.729411764707,
54,0,0,0,0,0,
55,1487980800000,2.193068912549019E7,0.0,5453155.898039214,72148.24313725492,
56,0,0,0,0,0,
57,0,0,0,0,0,
58,1488240000000,2.251566751372546E7,0.0,1.1348634364705862E7,41820.94901960784,
59,0,0,0,0,0,
60,1488412800000,2.5539650478431363E7,2.0,8203936.019607832,239779.98823529412,
61,0,0,0,0,0,
62,0,0,0,0,0,
63,0,0,0,0,0,
64,0,0,0,0,0,
65,0,0,0,0,0,
66,0,0,0,0,0,
67,1489017600000,1.9890712298039213E7,0.0,4854383.137254903,63957.13333333333,
68,1489104000000,3.3657547156862736E7,0.0,1.0759845341176461E7,204576.27843137257,
69,0,0,0,0,0,
70,1489276800000,3.0632135898039207E7,0.0,1.329993725098039E7,685141.8235294118,
71,1489363200000,3.380991376078432E7,0.0,6939139.576470588,477834.4,
72,1489449600000,2.4536940835294113E7,0.0,8952717.635294115,505615.66274509823,
73,1489536000000,2.2956512701960783E7,0.0,4409304.388235292,88681.5137254902,
74,1489622400000,1.81778890470588E7,0.0,8737854.117647052,39680.313725490196,
75,1489708800000,9422047.564705882,0.0,1788628.8078431373,93990.0392156863,
76,1489795200000,3.3160657792156845E7,0.0,1.1308591545098035E7,142486.34509803916,
77,0,0,0,0,0,
78,1489968000000,7614688.898039216,0.0,1326318.0588235294,26222.85490196078,
79,1490054400000,1.9863631301960777E7,0.0,7528210.650980391,131458.23529411765,
80,1490140800000,8592238.18039213,0.0,1.1333860443137236E7,24984.06274509804,
81,1490227200000,2.8172779270588215E7,130.0,1.6229163745098026E7,219346.67843137257,
82,1490313600000,2.612179565098035E7,0.0,1.825947745098038E7,235784.06274509814,
83,1490400000000,1.837059127058821E7,0.0,8425999.027450975,458681.3686274511,
84,1490486400000,2.1493450564705856E7,0.0,1.219465254509803E7,312666.2549019609,
85,0,0,0,0,0,
86,1490659200000,1.2632289360784307E7,0.0,6436014.580392154,139900.45882352942,
87,1490745600000,9384162.137254903,0.0,1795229.6823529413,74977.86274509804,
88,1490832000000,3.248883984705883E7,0.0,1.1842388286274508E7,280519.2039215687,
89,0,0,0,0,0,
90,0,0,0,0,0,
91,1491091200000,1.8588760941176463E7,0.0,8436177.890196078,503525.38823529414,
92,1491177600000,2.0984589364705853E7,0.0,1.0079099737254886E7,611615.105882353,
93,1491264000000,3.1293736184313722E7,0.0,1.28531202E7,474493.68235294125,
94,1491350400000,2.5563986572548997E7,23.0,1.896545127843136E7,87689.03921568628,
95,1491436800000,3.146364876078431E7,0.0,9352087.909803921,353295.8509803922,
96,1491523200000,2.233158261568627E7,0.0,1.1523645466666665E7,134974.33333333334,
97,1491609600000,5107114.525490196,0.0,458878.01960784313,8258.599999999999,
98,1491696000000,2.9814306843137223E7,104.0,1.4702229799999995E7,105328.13333333333,
99,1491782400000,542352.380392157,0.0,28837.83529411765,10442.090196078432,
100,1491868800000,3.343239155686274E7,12.0,1.0916792666666668E7,262965.96470588236,
101,0,0,0,0,0,
102,1492041600000,2.8453529533333343E7,0.0,5123549.384313725,368838.46666666673,
103,1492128000000,2.0055084000000004E7,0.0,7229992.184313725,168040.10980392157,
104,1492214400000,2.180803819607841E7,0.0,9572289.611764684,296737.9843137255,
105,1492300800000,8878386.705882354,0.0,2320205.1764705884,100508.9725490196,
106,1492387200000,2.5547236737254865E7,0.0,1.8606295027450968E7,463645.78823529417,
107,1492473600000,3.2196604078431364E7,0.0,8699582.149019606,272576.62352941185,
108,1492560000000,16758.576470588236,0.0,4105.913725490196,533.0,
109,0,0,0,0,0,
110,1492732800000,2.8989173258823514E7,15.0,1.5219512705882344E7,413267.8117647059,
111,1492819200000,9086885.043137256,0.0,1509408.4862745097,70411.26666666666,
112,1492905600000,3.2732195799999975E7,16.0,1.135469227058823E7,524849.5568627451,
113,0,0,0,0,0,
114,1493078400000,2.059848845098038E7,0.0,4218663.725490196,164774.09803921575,
115,1493164800000,1.9373926058823526E7,0.0,7938407.541176466,235962.93333333332,
116,1493251200000,1.8852286933333315E7,0.0,1.1514292592156848E7,197467.99607843137,
117,1493337600000,7557204.011764707,0.0,3734441.3882352933,83515.27843137256,
