system:index,date,ice,ship,unknown,water,.geo
0,0,0,0,0,0,
1,0,0,0,0,0,
2,1451779200000,1.7768819392156817E7,70.0,1.519133857647056E7,137730.41960784316,
3,1451865600000,8975072.192156862,34.0,2214550.8274509804,93378.74117647059,
4,0,0,0,0,0,
5,0,0,0,0,0,
6,1452124800000,1.90578236470588E7,95.35294117647058,1.4630688321568621E7,301402.17647058825,
7,0,0,0,0,0,
8,1452297600000,1.4330630631372549E7,133.0,4835307.380392157,32736.039215686276,
9,0,0,0,0,0,
10,1452470400000,2000182.7568627452,0.0,835974.7686274509,100643.72156862746,
11,1452556800000,2.5150976913725447E7,11925.24705882353,1.5954398533333318E7,124497.32156862746,
12,0,0,0,0,0,
13,1452729600000,1.457755834901961E7,137.0,1.1605756188235294E7,1254438.054901961,
14,1452816000000,1.5265785752941137E7,242.0,1.7370306482352905E7,463553.380392157,
15,1452902400000,7372730.83137255,14.0,3573853.866666666,329370.3529411765,
16,0,0,0,0,0,
17,0,0,0,0,0,
18,1453161600000,1.8292681905882325E7,249.0,1.533427649411764E7,353859.337254902,
19,0,0,0,0,0,
20,1453334400000,1.5717400992156863E7,60.0,3420616.098039216,53409.85490196078,
21,0,0,0,0,0,
22,1453507200000,2230717.3254901962,17.0,597962.0509803921,25314.4,
23,1453593600000,2.607311518431368E7,160.0,1.4984946290196063E7,108691.07058823536,
24,0,0,0,0,0,
25,1453766400000,2.1382625164705876E7,84.0,5930834.329411762,131961.57254901962,
26,1453852800000,1.961317885882349E7,26.0,1.3381395341176467E7,93345.23529411767,
27,1453939200000,9131369.615686277,4.0,2078715.6470588236,78002.27450980393,
28,1454025600000,1.9434409482352905E7,43.0,1.4460905329411741E7,21380.10196078431,
29,0,0,0,0,0,
30,1454198400000,1.9431489525490176E7,31.0,1.4320997690196063E7,228783.40392156862,
31,0,0,0,0,0,
32,1454371200000,1.3880880427450977E7,17.0,5245298.913725487,56964.08627450981,
33,0,0,0,0,0,
34,1454544000000,2071973.647058823,19.0,765322.8078431374,10490.572549019606,
35,1454630400000,2.332846672549014E7,26.0,1.7743004431372534E7,95715.66274509804,
36,0,0,0,0,0,
37,1454803200000,1.518076836470586E7,31.0,1.2217585698039208E7,60424.57647058824,
38,1454889600000,1.7039265796078376E7,1.0,1.5931561176470567E7,93621.11372549018,
39,1454976000000,8100453.725490198,13.0,3111970.274509804,91243.97647058823,
40,0,0,0,0,0,
41,0,0,0,0,0,
42,1455235200000,2.247553387058821E7,23.0,1.1379603529411752E7,106838.65882352943,
43,0,0,0,0,0,
44,0,0,0,0,0,
45,0,0,0,0,0,
46,1455580800000,2099284.321568628,0.0,731458.0666666668,63710.63137254902,
47,1455667200000,1.5526679035294099E7,30.0,1.154082570980391E7,19875.941176470587,
48,0,0,0,0,0,
49,1455840000000,1.8042215843137246E7,39.0,9325370.321568623,84113.61568627451,
50,0,0,0,0,0,
51,1456012800000,7600399.047058824,13.0,3617429.737254902,87450.81568627451,
52,0,0,0,0,0,
53,0,0,0,0,0,
54,1456272000000,1.938268107450977E7,41.0,1.45042882980392E7,85656.6705882353,
55,0,0,0,0,0,
56,0,0,0,0,0,
57,0,0,0,0,0,
58,1456617600000,2129480.666666667,6.0,704490.062745098,8151.866666666667,
59,1456704000000,1.3547780376470573E7,29.0,1.3491711035294106E7,54130.952941176474,
60,0,0,0,0,0,
61,1456876800000,1.836658660392155E7,12.0,9042258.427450974,30297.886274509805,
62,0,0,0,0,0,
63,1457049600000,8308902.231372549,14.0,2862982.776470588,118504.81960784315,
64,0,0,0,0,0,
65,0,0,0,0,0,
66,1457308800000,2.206759330588232E7,19.0,1.1838013439215677E7,69549.3568627451,
67,0,0,0,0,0,
68,0,0,0,0,0,
69,0,0,0,0,0,
70,1457654400000,1878481.8980392162,4.0,965736.0196078431,7045.686274509804,
71,1457740800000,1.3561406737254884E7,18.0,1.349363872941176E7,26491.54117647059,
72,0,0,0,0,0,
73,1457913600000,1.8322984050980385E7,20.0,9028714.92941176,88254.76862745099,
74,0,0,0,0,0,
75,1458086400000,6736909.905882352,28.0,4354624.592156862,132336.51764705882,
76,0,0,0,0,0,
77,0,0,0,0,0,
78,1458345600000,1.7854757019607835E7,39.0,1.5855783458823524E7,260369.69803921584,
79,0,0,0,0,0,
80,0,0,0,0,0,
81,0,0,0,0,0,
82,1458691200000,1385742.9490196088,5.0,1465769.7686274506,12446.52549019608,
83,1458777600000,1.1406838643137237E7,39.0,1.5650160007843133E7,5228.858823529412,
84,0,0,0,0,0,
85,1458950400000,1.5614069078431351E7,40.0,1.1746360823529406E7,98189.3882352941,
86,0,0,0,0,0,
87,1459123200000,6474531.301960784,24.0,4740858.266666668,79596.62745098039,
88,0,0,0,0,0,
89,0,0,0,0,0,
90,1459382400000,1.9511118474509783E7,29.0,1.4312303027450977E7,139643.7411764706,
91,0,0,0,0,0,
92,1459555200000,1.1338348658823526E7,45.0,7836448.901960781,22899.984313725487,
93,0,0,0,0,0,
94,1459728000000,1727411.7137254905,0.0,1122847.0784313723,67686.4862745098,
95,1459814400000,2.029940063137251E7,17.0,2.062705901960784E7,285486.6470588235,
96,0,0,0,0,0,
97,1459987200000,1.3640202603921559E7,25.0,1.3791363113725482E7,30101.176470588238,
98,1460073600000,1.2340987447058804E7,0.0,2.0521444588235274E7,178509.81960784318,
99,1460160000000,7646353.015686275,15.0,3568032.6901960787,88473.89411764705,
100,0,0,0,0,0,
101,0,0,0,0,0,
102,1460419200000,1.6120027184313705E7,26.0,1.774718898431372E7,95004.50980392158,
103,0,0,0,0,0,
104,1460592000000,1.044577164313725E7,26.0,8153566.5529411705,586473.0235294118,
105,0,0,0,0,0,
106,1460764800000,1817595.2431372558,4.0,1013188.8470588236,10680.505882352942,
107,1460851200000,2.0457296074509773E7,133.0,2.0093000035294097E7,649129.4627450983,
108,0,0,0,0,0,
109,1461024000000,1.6135663149019606E7,23.0,1.0376060149019592E7,946292.3450980393,
110,1461110400000,1.6020670047058793E7,0.0,1.6478410219607832E7,537050.9058823531,
111,1461196800000,7404273.537254902,10.0,3769225.611764706,136066.5607843137,
112,0,0,0,0,0,
113,0,0,0,0,0,
114,1461456000000,2.3924420062745087E7,20.0,9051231.450980386,1000963.7843137259,
115,0,0,0,0,0,
116,1461628800000,1.5054732600000001E7,8.0,4011542.2901960784,131295.44313725494,
117,0,0,0,0,0,
118,1461801600000,2123340.1725490196,0.0,717003.9450980391,64251.16862745098,
119,1461888000000,2.6095487850980368E7,23.0,1.4712395007843113E7,386591.4823529415,
120,0,0,0,0,0,
121,1462060800000,1.9082282850980394E7,26.0,7362632.290196072,1006487.6196078433,
122,1462147200000,1.4216704207843108E7,1.0,1.806102638039213E7,766654.168627451,
123,1462233600000,7918698.227450981,6.0,2900199.462745098,489109.4431372549,
124,0,0,0,0,0,
125,0,0,0,0,0,
126,1462492800000,2.1865102074509792E7,19.0,9379804.839215675,2730943.6039215694,
127,0,0,0,0,0,
128,1462665600000,1.3029049850980397E7,7.0,5322728.439215685,848982.3411764706,
129,0,0,0,0,0,
130,1462838400000,1750497.447058824,6.0,998331.3999999999,101808.50588235294,
131,1462924800000,1.5678807078431372E7,39.0,2.120362612941174E7,4310792.749019601,
132,0,0,0,0,0,
133,1463097600000,2.150740780392157E7,27.0,4358721.05098039,1576200.8392156828,
134,1463184000000,9868726.392156862,0.0,2.166193406666665E7,1531449.2784313704,
135,1463270400000,9161986.949019609,5.0,1494583.8588235297,636008.7254901961,
136,0,0,0,0,0,
137,0,0,0,0,0,
138,1463529600000,2.2423648439215686E7,21.0,9367037.301960785,2182927.7764705867,
139,0,0,0,0,0,
140,1463702400000,1.2907598658823527E7,33.0,5226899.898039213,1067909.4039215688,
141,0,0,0,0,0,
142,1463875200000,1963912.945098039,1.0,859254.6039215687,42888.00392156862,
143,1463961600000,1.1795388427450968E7,895.5019607843137,1.5256566705882343E7,578.0,
144,0,0,0,0,0,
145,1464134400000,1.9394827305882346E7,6.0,7085034.243137251,976748.2431372551,
146,1464220800000,8701422.69019607,47.0,2.4295227235294115E7,11335.423529411763,
147,1464307200000,5360333.980392158,33.0,4177824.894117648,1693603.3098039215,
148,0,0,0,0,0,
149,0,0,0,0,0,
150,1464566400000,7784545.5058823535,23.0,1.4918751721568625E7,1.1265833137254901E7,
151,0,0,0,0,0,
152,1464739200000,7126647.992156863,64.0,8990569.050980393,3075859.0117647024,
153,0,0,0,0,0,
154,1464912000000,1716502.952941176,15.0,723355.0392156861,414909.88235294126,
155,1464998400000,6358460.799999998,0.0,2.9603631278431352E7,5248816.360784312,
156,0,0,0,0,0,
157,1465171200000,1.1982167639215682E7,552.0,1.1369722164705882E7,4021877.5921568624,
158,1465257600000,2718591.3921568566,0.0,2.090709437647059E7,9414673.427450985,
159,1465344000000,1166344.568627451,2.0,5206037.749019608,4928624.247058824,
160,0,0,0,0,0,
161,0,0,0,0,0,
162,1465603200000,1320155.4745098036,1.0,2195850.874509804,3.044990460784313E7,
163,0,0,0,0,0,
164,1465776000000,1.0421731349019608E7,2.0,7160060.254901948,1611704.9764705882,
165,0,0,0,0,0,
