system:index,date,ice,ship,unknown,water,.geo
0,0,0,0,0,0,
1,1514851200000,3.1445730384313736E7,0.0,2436300.921568628,68745.38431372552,
2,1514937600000,3.245660965882353E7,3.0,4404052.266666666,18290.50980392157,
3,1515024000000,2.813755378823528E7,2.0,3460876.4509803923,78968.73725490195,
4,1515110400000,2.622454296862743E7,14.0,3347967.662745098,18099.423529411764,
5,1515196800000,3.414943500784313E7,5.0,7029681.760784312,21661.086274509802,
6,1515283200000,2.380272010196078E7,2.0,3288752.580392157,72278.93333333333,
7,1515369600000,2.9570923811764706E7,2.0,4319738.776470587,87296.14509803923,
8,0,0,0,0,0,
9,1515542400000,3.1384692513725482E7,9.0,3485674.968627451,9916.74117647059,
10,0,0,0,0,0,
11,0,0,0,0,0,
12,0,0,0,0,0,
13,1515888000000,3.1318617552941184E7,0.0,2543433.4705882357,81215.34509803927,
14,1515974400000,3.12397009607843E7,13.0,5591895.925490197,47456.03921568627,
15,1516060800000,1.6289461541176464E7,1.0,4729541.298039214,61440.87843137255,
16,1516147200000,2.9157657611764688E7,4.0,4054735.7215686287,22701.721568627454,
17,1516233600000,5620643.717647059,0.0,630892.3882352941,128746.76078431372,
18,1516320000000,2.283738227058823E7,19.0,4229813.329411765,80992.25098039216,
19,1516406400000,2.834115809803922E7,0.0,5523986.560784316,121631.4117647059,
20,0,0,0,0,0,
21,1516579200000,1.8339589549019586E7,28.0,4953861.101960785,12822.49411764706,
22,0,0,0,0,0,
23,1516752000000,3.8827385733333334E7,8.0,5719776.000000003,64929.78039215686,
24,0,0,0,0,0,
25,0,0,0,0,0,
26,1517011200000,2.2784824027450986E7,0.0,4590213.650980392,145439.9843137255,
27,1517097600000,1.0462313737254865E7,8.0,9500174.81960783,10649.29411764706,
28,1517184000000,1.010413974901961E7,0.0,1116791.7843137258,98552.50588235294,
29,1517270400000,3.197635421568624E7,6.0,1.2603127788235284E7,37743.13725490196,
30,1517356800000,3.627476683921569E7,12.0,4818863.866666666,81061.38039215686,
31,1517443200000,2.7723720874509785E7,1.0,6179735.874509803,92188.70588235297,
32,1517529600000,2.489688976470588E7,0.0,2477588.823529412,73647.84705882354,
33,1517616000000,1.690079271764706E7,0.0,2280633.6,13613.905882352941,
