system:index,date,ice,ship,unknown,water,.geo
0,1546300800000,2.6783956333333287E7,474.0,1.7344250619607814E7,488555.07843137265,
1,1546387200000,1.3745271968627436E7,187.0,1.3198679890196063E7,132545.79607843136,
2,1546473600000,2.1348639403921556E7,276.0,1.2069632874509789E7,482831.5333333333,
3,1546560000000,3707041.7058823532,37.0,1821153.1764705882,54707.12156862745,
4,1546646400000,1.9246545964705832E7,627.0,1.5349231866666643E7,284506.3921568627,
5,1546732800000,465888.5490196079,0.0,106322.71764705883,5799.337254901961,
6,1546819200000,2.584474440392152E7,359.0,1.8391533611764684E7,375569.5607843137,
7,0,0,0,0,0,
8,1546992000000,1.5128078407843126E7,53.0,9335473.25490194,454094.81960784347,
9,1547078400000,8904722.172548987,672.0,7714442.11372546,55894.14901960784,
10,1547164800000,2.0937235098039187E7,548.0,1.0408644207843114E7,315911.7450980392,
11,1547251200000,2.0793719152941138E7,499.0,1.2242528117647035E7,193418.7843137255,
12,1547337600000,2623294.470588236,0.0,765683.3254901961,50870.92549019608,
13,1547424000000,2.4480473113725487E7,665.0,1.2506727823529392E7,238386.0431372549,
14,1547510400000,2.442277058039215E7,481.0,9147471.55294117,317791.02352941176,
15,0,0,0,0,0,
16,1547683200000,2.1981838533333294E7,682.0,1.2720939101960752E7,174345.5882352941,
17,1547769600000,7980431.0,0.0,3087663.8352941177,133864.44313725492,
18,1547856000000,2061488.5764705883,0.0,738327.7960784313,30179.90588235294,
19,0,0,0,0,0,
20,1548028800000,1.6535462505882327E7,336.0,8184665.396078414,196978.53333333327,
21,1548115200000,2.055072337647059E7,275.0,6598391.239215684,282923.69803921564,
22,1548201600000,1.131022283921565E7,882.0,8583016.384313704,60805.149019607845,
23,1548288000000,1.9975325431372505E7,645.0,1.3114607988235267E7,140146.63529411767,
24,1548374400000,3.0627714113725442E7,574.0,1.3628811325490182E7,359915.0509803923,
25,0,0,0,0,0,
26,1548547200000,2.4664106380392138E7,445.0,8891777.890196076,337645.25098039216,
27,0,0,0,0,0,
28,1548720000000,2.1482625356862694E7,754.0,1.321574194901958E7,181190.91764705884,
29,1548806400000,456420.38823529414,0.0,116076.74117647059,5811.4078431372545,
30,1548892800000,2011332.4784313724,0.0,774123.3607843134,43185.89019607843,
31,0,0,0,0,0,
32,0,0,0,0,0,
33,1549152000000,1.9833185941176474E7,416.0,7266747.768627447,337134.2078431373,
34,1549238400000,1.140442000392153E7,492.0,8413055.313725471,123431.39999999998,
35,1549324800000,8327554.266666668,131.0,2689878.882352941,198758.26274509807,
36,1549411200000,2.6901636843137205E7,634.0,1.7260611117647033E7,454352.1803921569,
37,0,0,0,0,0,
38,1549584000000,2.1216457588235267E7,470.0,1.2133846780392133E7,547786.3921568629,
39,1549670400000,1.6962443447058816E7,373.0,1.011363947450979E7,339918.3058823529,
40,1549756800000,1.2760351607843135E7,264.0,6133719.329411758,265293.8980392157,
41,1549843200000,7061115.615686273,118.0,3943832.274509804,189138.49803921563,
42,1549929600000,7129997.0,80.0,4646701.57254902,108219.99999999999,
43,0,0,0,0,0,
44,1550102400000,1.988102112941175E7,231.0,1.3697740439215668E7,301201.84705882357,
45,1550188800000,2.1069304454901915E7,65.0,1.5575412737254871E7,227231.9647058824,
46,1550275200000,813487.7254901961,7.0,1269292.7294117648,1491.0,
47,1550361600000,1.7526051501960736E7,76.0,1.5481394639215663E7,225051.91372549022,
48,1550448000000,2.506244128627445E7,95.0,1.9191296878431346E7,363383.01176470594,
49,1550534400000,1.3171605913725475E7,52.0,1.3804566054901956E7,86755.09019607842,
50,0,0,0,0,0,
51,1550707200000,4150942.5254901964,0.0,1409702.3450980394,18614.18431372549,
52,1550793600000,1.1978959015686272E7,2.0,7104864.47058823,88932.29019607844,
53,1550880000000,6318292.105882351,0.0,4843462.462745098,45486.25490196078,
54,1550966400000,1.926717260392153E7,0.0,1.602531272549018E7,250521.16862745106,
55,0,0,0,0,0,
56,1551139200000,1.8481243258823518E7,10.0,1.4720587647058811E7,681599.2862745096,
57,1551225600000,1.6791168192156862E7,0.0,1.0477946498039208E7,152199.5647058824,
58,1551312000000,765311.2196078426,0.0,1320990.1921568625,697.9686274509804,
59,0,0,0,0,0,
60,1551484800000,2.595184673725487E7,6.0,1.775372867450977E7,911640.7058823532,
61,1551571200000,1.503997835294117E7,26.0,1.1832143996078415E7,188679.21568627455,
62,1551657600000,1.942846358039215E7,40.0,1.237680862352939E7,2083600.3019607845,
63,1551744000000,1.5850294278431358E7,0.0,1.020007639215685E7,1380345.8156862748,
64,1551830400000,1.2112010580392156E7,1.0,6445438.7176470505,625078.7921568628,
65,1551916800000,7059758.54117647,0.0,4049170.298039216,109706.28235294117,
66,1552003200000,2.3372656898039162E7,24.0,2.0420861235294078E7,818413.2470588235,
67,0,0,0,0,0,
68,1552176000000,2.280972529019608E7,22.0,1.010865429803921E7,968493.1450980395,
69,1552262400000,2.162004874509801E7,3.0,1.4665540399999972E7,593468.5137254903,
70,1552348800000,1.9423048980392132E7,9.0,1.176798785882351E7,470150.7960784314,
71,1552435200000,1.807280941960781E7,4.0,1.4750736513725458E7,413297.1215686275,
72,1552521600000,2.474686294117642E7,4.0,1.9461670525490176E7,408717.16078431375,
73,1552608000000,1.6197114882352918E7,19.0,1.4526823588235274E7,258931.30196078436,
74,1552694400000,2.3249295149019603E7,2.0,1.0035852909803912E7,592664.211764706,
75,1552780800000,1.9982821670588233E7,2.0,7063349.5960784275,374931.4509803923,
76,1552867200000,1.9951982721568592E7,11.0,1.4733166976470547E7,201488.8862745099,
77,1552953600000,8510237.305882357,0.0,2563707.1294117654,144993.01176470588,
78,1553040000000,2.5830320525490176E7,9.0,1.802027511372545E7,763074.349019608,
79,0,0,0,0,0,
80,1553212800000,2.389322990588235E7,10.0,9247339.282352937,756853.3490196081,
81,1553299200000,2.3085183098039184E7,13.0,1.3151209137254866E7,644760.7333333336,
82,1553385600000,2.0167137909803897E7,6.0,1.0872352701960765E7,624065.760784314,
83,1553472000000,1.7811165878431343E7,25.0,1.5029793164705845E7,395552.01176470605,
84,1553558400000,2.6052723992156822E7,43.0,1.7867167223529384E7,697227.2901960785,
85,1553644800000,1.953381803921568E7,26.0,1.6728610952941164E7,955223.411764706,
86,1553731200000,17740.91764705882,0.0,2579.9019607843134,160.06274509803922,
87,1553817600000,1.804295094509803E7,14.0,8695272.894117642,679031.505882353,
88,1553904000000,1.1109123368627414E7,32.0,1.1796594960784279E7,353250.23137254897,
89,0,0,0,0,0,
90,1554076800000,6311447.82745098,0.0,5000115.4,582300.3098039215,
91,0,0,0,0,0,
92,1554249600000,5342529.403921569,1.0,3515652.1999999997,106261.73725490195,
93,1554336000000,7629572.980392122,0.0,8636633.470588202,366866.70980392164,
94,1554422400000,1.864365594509802E7,7.0,1.248650011764703E7,536717.8470588236,
95,1554508800000,1.6926326415686246E7,44.0,1.5723419745098002E7,593312.8941176472,
96,1554595200000,2.454276723137251E7,42.0,1.9106748474509764E7,967671.4705882355,
97,1554681600000,2.1289663458823502E7,41.0,1.9516485654901925E7,342235.7137254903,
98,1554768000000,2.0864241635294095E7,22.0,1.2122674392156847E7,918890.0078431376,
99,1554854400000,1.7148838270588227E7,10.0,9200531.223529402,1074907.6470588234,
100,1554940800000,1.024119785098037E7,17.0,1.2899828270588212E7,126291.4588235294,
