system:index,date,ice,ship,unknown,water,.geo
0,1577836800000,8901246.250980392,11.0,2213006.364705882,79756.96862745099,
1,1577923200000,2.8572628360784292E7,21.0,1.5827461349019596E7,211800.25098039213,
2,0,0,0,0,0,
3,1578096000000,2.2958154384313717E7,3.0,1.0606063435294097E7,315314.3882352942,
4,1578182400000,8616667.266666628,0.0,7951292.180392129,113586.88627450983,
5,1578268800000,1.337813747843137E7,0.0,5641816.458823523,136579.0901960784,
6,1578355200000,1.933674105882349E7,0.0,1.365171102352939E7,243044.97254901967,
7,1578441600000,2.991311840392156E7,5.0,1.4322871039215678E7,381285.30196078453,
8,1578528000000,2.73807371607843E7,0.0,1.3501487494117634E7,255453.074509804,
9,1578614400000,2.3371017423529413E7,0.0,1.0343553070588224E7,193270.37647058818,
10,1578700800000,1.4393272701960776E7,0.0,7342403.258823522,112878.97647058823,
11,1578787200000,1.990689442745093E7,4.0,1.4855513615686249E7,119496.18039215685,
12,1578873600000,462807.8666666667,0.0,108321.48627450979,6034.6705882352935,
13,1578960000000,2.457620041568625E7,8.0,1.069946505098038E7,262619.8078431374,
14,0,0,0,0,0,
15,1579132800000,2.4382209133333325E7,0.0,9260005.933333322,234528.13725490193,
16,1579219200000,1.0775475725490153E7,0.0,5884559.749019597,24789.976470588237,
17,1579305600000,2.28591417843137E7,4.0,8631073.721568622,170537.54117647058,
18,1579392000000,2.4093600878431335E7,0.0,9032420.427450977,105871.74901960783,
19,1579478400000,3.1757323286274504E7,0.0,9231461.333333328,215582.8901960785,
20,1579564800000,3.17629270117647E7,0.0,9199288.560784316,166478.7725490196,
21,1579651200000,2.6624896286274508E7,0.0,7076855.533333333,199943.27450980394,
22,1579737600000,2.1154850592156865E7,0.0,6088132.407843136,180281.40000000002,
23,1579824000000,2.5989431458823502E7,0.0,8775550.168627443,115981.59607843138,
24,1579910400000,8099420.007843138,0.0,2434640.2901960784,100371.76078431372,
25,1579996800000,3.2699584972549E7,0.0,1.1540664749019597E7,371734.32941176475,
26,0,0,0,0,0,
27,1580169600000,2.5259795580392156E7,2.0,8317063.286274497,309319.8313725492,
28,1580256000000,2.549133118039211E7,0.0,1.1195417313725468E7,187744.7137254902,
29,0,0,0,0,0,
30,1580428800000,2.3343366482352916E7,4.0,9752311.97647058,135611.59607843138,
31,1580515200000,3.260949594117643E7,0.0,1.175100611372548E7,256762.19999999998,
32,0,0,0,0,0,
33,1580688000000,2.6401973517647035E7,0.0,7367317.211764701,125022.16470588233,
34,1580774400000,2.1264463627450977E7,0.0,6016289.66666666,135009.74901960784,
35,1580860800000,1.5516759741176471E7,0.0,3524623.5372548997,128495.03137254903,
36,1580947200000,9070519.556862745,0.0,2057208.7882352937,84955.0,
37,1581033600000,3.0333423615686234E7,0.0,1.4016075847058805E7,262620.66274509823,
38,0,0,0,0,0,
39,1581206400000,2.4510965101960767E7,0.0,9137483.768627439,253039.4941176471,
40,1581292800000,2.537165629019604E7,2.0,1.1300063913725471E7,206470.42745098044,
41,1581379200000,1058436.0980392161,0.0,1031320.6039215685,855.1960784313726,
42,1581465600000,2.1093512564705845E7,20.0,1.1946918054901946E7,192940.43529411766,
43,1581552000000,2.8841615549019568E7,25.0,1.5532383043137237E7,243170.57254901965,
44,0,0,0,0,0,
45,1581724800000,2.3120009819607813E7,10.0,1.0546722188235283E7,222744.0862745098,
46,1581811200000,1.8675837999999993E7,2.0,8599863.623529403,131915.52156862745,
47,1581897600000,1.3675860537254902E7,3.0,5358739.909803917,124894.36078431373,
48,1581984000000,8119312.890196079,0.0,2948638.1529411767,131789.5058823529,
49,1582070400000,2.8309102462745056E7,11.0,1.610562342352939E7,197402.25490196084,
50,0,0,0,0,0,
51,1582243200000,2.242675512941174E7,8.0,1.1316702850980379E7,151147.4862745098,
52,1582329600000,2.4891298627450943E7,2.0,1.179192649411763E7,192823.66274509806,
53,1582416000000,1276067.9882352944,0.0,802662.4470588238,1705.6117647058823,
54,1582502400000,2.1409979541176446E7,2.0,1.1554702913725479E7,266928.6000000001,
55,1582588800000,2.944547202745096E7,0.0,1.4777245921568612E7,394438.2156862746,
56,0,0,0,0,0,
57,1582761600000,2.28350573607843E7,2.0,1.084825939215685E7,216876.61960784314,
58,1582848000000,1.8461407607843135E7,0.0,8791351.090196071,161415.03529411767,
59,1582934400000,1.3348905176470583E7,2.0,5683899.317647052,129896.8823529412,
