system:index,date,ice,ship,unknown,water,.geo
0,1483228800000,2.5078152223529413E7,0.0,8565526.125490192,323071.7568627451,
1,1483315200000,2.131732259607843E7,0.0,5843701.278431372,283702.48627450987,
2,1483401600000,8002318.956862716,0.0,7226686.521568615,340856.40784313733,
3,1483488000000,9011894.796078432,0.0,2113893.0823529414,166445.94901960783,
4,1483574400000,2211527.698039216,0.0,600493.4784313726,74377.66666666666,
5,1483660800000,2.790424487843136E7,2.0,1.3007396352941161E7,270023.7647058823,
6,0,0,0,0,0,
7,1483833600000,2.0472620345098037E7,0.0,6755246.227450979,212342.02745098036,
8,1483920000000,2.1911519176470567E7,2.0,1.1070386043137249E7,102490.47843137255,
9,1484006400000,8881039.784313725,0.0,2273263.8901960785,142345.52156862745,
10,0,0,0,0,0,
11,0,0,0,0,0,
12,1484265600000,2.5624898188235283E7,0.0,8092130.670588232,254327.62352941174,
13,0,0,0,0,0,
14,1484438400000,1.4259527768627446E7,0.0,4670779.8156862715,259121.10588235297,
15,0,0,0,0,0,
16,1484611200000,2096081.760784314,0.0,704469.1843137254,35605.2705882353,
17,1484697600000,2.9231720874509808E7,0.0,1.1698918890196066E7,260054.1176470588,
18,0,0,0,0,0,
19,1484870400000,2.5545026878431372E7,0.0,1.0461102211764703E7,77463.06274509805,
20,1484956800000,3.4260324537254885E7,1.0,1.0089077960784307E7,272565.2784313726,
21,1485043200000,8450059.22745098,0.0,2673694.901960785,155573.98823529415,
22,1485129600000,2220349.784313726,0.0,592543.2509803921,29025.929411764708,
23,1485216000000,3.2770585254901964E7,0.0,7978778.462745101,462313.8313725493,
24,1485302400000,2.3413076121568624E7,2.0,1.0204060686274502E7,348671.1098039218,
25,1485388800000,2.307293804705882E7,0.0,4277659.37254902,102850.40000000001,
26,1485475200000,1.0155032619607821E7,1.0,4259604.98039215,23479.32549019608,
27,1485561600000,9690137.211764704,0.0,1468886.2745098043,151864.54509803923,
28,1485648000000,2193044.149019608,0.0,628491.1019607842,29765.976470588233,
29,1485734400000,1.825554436470587E7,8.0,8801663.219607832,39295.06274509804,
30,0,0,0,0,0,
31,1485907200000,2.171156452941176E7,0.0,5613475.376470589,162924.1215686275,
32,0,0,0,0,0,
33,1486080000000,9211402.23137255,0.0,1946788.28627451,122584.56078431374,
34,0,0,0,0,0,
35,0,0,0,0,0,
36,1486339200000,2.5314028882352933E7,3.0,8394278.325490193,277190.2509803922,
37,0,0,0,0,0,
38,0,0,0,0,0,
39,1486598400000,9003071.533333324,0.0,4216430.596078429,37135.03137254902,
40,0,0,0,0,0,
41,0,0,0,0,0,
42,0,0,0,0,0,
43,1486944000000,0,0,0,0,
44,0,0,0,0,0,
45,1487116800000,8794720.647058824,0.0,2342548.988235294,179176.10980392157,
46,1487203200000,2403336.745098039,0.0,410042.356862745,82158.25098039216,
47,0,0,0,0,0,
48,1487376000000,2.141392989411764E7,0.0,1.1840178627450977E7,724563.0784313725,
49,1487462400000,2.0142847909803923E7,0.0,6656888.36078431,639151.356862745,
50,0,0,0,0,0,
51,1487635200000,8462658.43137255,0.0,2695816.8,142713.3843137255,
52,0,0,0,0,0,
53,1487808000000,1.6403056282352934E7,4.0,1.0571928286274495E7,107361.43921568629,
54,0,0,0,0,0,
55,1487980800000,1.9813690639215678E7,0.0,7325094.152941176,317208.474509804,
56,0,0,0,0,0,
57,0,0,0,0,0,
58,1488240000000,2.1903251313725468E7,0.0,1.1747977541176446E7,254893.97254901959,
59,0,0,0,0,0,
60,1488412800000,2.342723659999997E7,4.0,9956155.435294101,599972.4509803919,
61,0,0,0,0,0,
62,0,0,0,0,0,
63,0,0,0,0,0,
64,0,0,0,0,0,
