system:index,date,ice,ship,unknown,water,.geo
0,0,0,0,0,0,
1,0,0,0,0,0,
2,1451779200000,1.8388773164705843E7,11.0,1.4440263835294075E7,268910.3882352942,
3,1451865600000,7914151.435294118,8.0,3201008.223529412,167868.1019607843,
4,0,0,0,0,0,
5,0,0,0,0,0,
6,1452124800000,1.9059135039215654E7,22.0,1.4491766929411741E7,439085.5294117647,
7,0,0,0,0,0,
8,1452297600000,1.2848831243137257E7,17.0,6217097.0235294085,132861.7843137255,
9,0,0,0,0,0,
10,1452470400000,1770075.356862746,0.0,1038117.0784313725,128608.8117647059,
11,1452556800000,2.4218728690196034E7,108.0,1.6741958290196061E7,281003.03529411764,
12,0,0,0,0,0,
13,1452729600000,1.4356515701960782E7,33.0,1.1571839611764701E7,1509501.2784313725,
14,1452816000000,1.636846080392153E7,33.0,1.588930567843134E7,842088.1333333337,
15,1452902400000,6487080.721568628,7.0,4289025.839215687,499855.4901960784,
16,0,0,0,0,0,
17,0,0,0,0,0,
18,1453161600000,1.8293205603921544E7,36.0,1.5053243423529392E7,634581.7098039216,
19,0,0,0,0,0,
20,1453334400000,1.399494443921568E7,11.0,5006422.650980387,190108.8549019608,
21,0,0,0,0,0,
22,1453507200000,1925935.733333333,0.0,868889.8705882354,59185.17254901961,
23,1453593600000,2.4981524156862706E7,37.0,1.57594827215686E7,425868.66666666686,
24,0,0,0,0,0,
25,1453766400000,1.913269276862744E7,26.0,7906424.349019606,406361.9490196079,
26,1453852800000,1.927339489411759E7,2.0,1.3527239235294102E7,287309.3058823529,
27,1453939200000,7949038.447058824,0.0,3158987.019607843,180066.07058823525,
28,1454025600000,1.9718939623529382E7,16.0,1.4050385596078405E7,147396.6941176471,
29,0,0,0,0,0,
30,1454198400000,1.918807265098036E7,17.0,1.4375442999999976E7,417768.9686274511,
31,0,0,0,0,0,
32,1454371200000,1.2398634898039214E7,6.0,6519112.588235286,265406.9411764706,
33,0,0,0,0,0,
34,1454544000000,1810138.568627451,0.0,984919.0431372551,52748.415686274515,
35,1454630400000,2.313551818431367E7,14.0,1.765144605098037E7,380234.58431372547,
36,0,0,0,0,0,
37,1454803200000,1.5109551478431355E7,21.0,1.2088913050980385E7,260324.10980392157,
38,1454889600000,1.786265126274504E7,0.0,1.4967296792156836E7,234501.03137254895,
39,1454976000000,7242831.2117647035,10.0,3816350.8588235294,244488.90588235293,
40,0,0,0,0,0,
41,0,0,0,0,0,
42,1455235200000,2.0863962886274476E7,19.0,1.2735323474509785E7,362693.6980392157,
43,0,0,0,0,0,
44,0,0,0,0,0,
45,0,0,0,0,0,
46,1455580800000,1847311.2156862747,0.0,953900.5686274507,93241.23529411765,
47,1455667200000,1.5855873549019586E7,13.0,1.1098628047058813E7,132896.09019607844,
48,0,0,0,0,0,
49,1455840000000,1.6766232462745082E7,23.0,1.0376616243137252E7,308867.07450980385,
50,0,0,0,0,0,
51,1456012800000,6907374.501960786,7.0,4170622.2980392156,227288.8,
52,0,0,0,0,0,
53,0,0,0,0,0,
54,1456272000000,1.938067914117644E7,24.0,1.433270480784312E7,259259.09411764704,
55,0,0,0,0,0,
56,0,0,0,0,0,
57,0,0,0,0,0,
58,1456617600000,1877473.9529411765,4.0,930290.9058823532,34359.73725490196,
59,1456704000000,1.4590064545098022E7,22.0,1.2342865949019596E7,160698.8705882353,
60,0,0,0,0,0,
61,1456876800000,1.67538248352941E7,9.0,1.0480070999999994E7,205250.08235294122,
62,0,0,0,0,0,
63,1457049600000,7284099.098039215,11.0,3784587.031372549,221706.69803921567,
64,0,0,0,0,0,
65,0,0,0,0,0,
66,1457308800000,2.0582075839215662E7,16.0,1.3169977035294104E7,223106.2274509804,
67,0,0,0,0,0,
68,0,0,0,0,0,
69,0,0,0,0,0,
70,1457654400000,1624540.8352941182,0.0,1162555.7882352942,64170.98039215687,
71,1457740800000,1.42011832980392E7,7.0,1.2669232196078416E7,211132.51372549022,
72,0,0,0,0,0,
73,1457913600000,1.6464754643137245E7,10.0,1.0505047768627444E7,470161.3372549019,
74,0,0,0,0,0,
75,1458086400000,5992232.333333334,24.0,4812314.862745098,419327.81960784306,
76,0,0,0,0,0,
77,0,0,0,0,0,
78,1458345600000,1.816601485098037E7,20.0,1.534008605490194E7,464828.27058823546,
79,0,0,0,0,0,
80,0,0,0,0,0,
81,0,0,0,0,0,
82,1458691200000,1287835.7882352946,0.0,1494712.9725490194,81415.48235294118,
83,1458777600000,1.31527059607843E7,4.0,1.3839090886274492E7,70465.66274509804,
84,0,0,0,0,0,
85,1458950400000,1.5488372352941163E7,1.0,1.1741153729411755E7,229132.20784313724,
86,0,0,0,0,0,
87,1459123200000,6400205.68627451,22.0,4761468.541176471,133313.968627451,
88,0,0,0,0,0,
89,0,0,0,0,0,
90,1459382400000,1.9369948117647037E7,22.0,1.4292266525490187E7,300857.6,
