system:index,date,ice,ship,unknown,water,.geo
0,1530403200000,4396739.003921568,0.0,2949355.3176470585,1608949.952941177,
1,1530489600000,1.052399877254901E7,2.0,1.8904863207843125E7,7456236.486274498,
2,1530576000000,7840903.815686264,0.0,9432167.376470562,3752041.992156859,
3,1530662400000,7796917.43921568,0.0,1.307505640784312E7,8685668.57254899,
4,1530748800000,2604416.6627450977,3.0,3022052.192156863,612644.8156862746,
5,0,0,0,0,0,
6,0,0,0,0,0,
7,1531008000000,6620474.996078428,0.0,1.2424260552941171E7,8378356.180392153,
8,1531094400000,8757576.00784312,9.0,2.395816016470586E7,2182761.6666666665,
9,1531180800000,1232557.4862745097,4.0,6482761.023529412,3502792.0666666673,
10,1531267200000,1.3532428682352938E7,0.0,2.023378508235293E7,1.0845646701960757E7,
11,0,0,0,0,0,
12,1531440000000,3678017.874509804,0.0,3998079.498039216,1281429.31372549,
13,1531526400000,4247944.219607844,0.0,1.1813395141176438E7,575831.4509803925,
14,1531612800000,5424817.4117647065,0.0,1.4596526968627445E7,997633.4901960788,
15,1531699200000,5647220.568627448,295.0,2.1511219294117615E7,2395544.388235289,
16,1531785600000,8988828.17254902,9.0,1.8722300909803912E7,1.6905930509803884E7,
17,1531872000000,2935874.156862745,4.0,5000845.360784313,5940386.580392158,
18,1531958400000,7421397.470588233,6.0,2.064589948627451E7,5831134.690196078,
19,0,0,0,0,0,
20,1532131200000,1.1410900545098038E7,4.0,7571247.447058817,187540.31764705887,
21,0,0,0,0,0,
22,1532304000000,8231734.400000001,0.0,2.8580871262745094E7,7799123.717647059,
23,0,0,0,0,0,
24,1532476800000,2766744.5098039214,0.0,5534504.341176471,647943.8117647058,
25,1532563200000,8141825.388235292,2.0,2.5628360270588227E7,3115608.8588235276,
26,1532649600000,1841323.094117647,0.0,9360398.364705876,8713996.992156839,
27,1532736000000,6562255.556862724,898.0,2.286712954117645E7,117479.50588235294,
28,1532822400000,9042739.066666657,11.0,2.6351899015686236E7,5811820.050980391,
29,1532908800000,4339506.113725491,6.0,1.85625450862745E7,1.8239890376470573E7,
30,1532995200000,1939944.3843137254,2.0,7841086.462745098,2.4085869447058816E7,
31,1533081600000,547822.9411764706,0.0,3776832.5215686276,1227419.5411764707,
32,1533168000000,1525940.282352941,2.0,8935837.6745098,1.2800009039215684E7,
33,1533254400000,15592.725490196079,0.0,2799848.298039216,8356582.509803923,
34,1533340800000,237277.07843137256,0.0,1445735.8705882353,1143409.4980392156,
35,0,0,0,0,0,
36,1533513600000,7106091.074509801,0.0,1.4755110278431362E7,3073523.482352933,
37,1533600000000,3342176.9137254846,0.0,9801465.79607839,3500877.788235292,
38,1533686400000,2493195.556862745,0.0,6789476.0235294085,1.1732020901960777E7,
39,1533772800000,2791091.0941176456,0.0,7112803.254901954,1.9622723341176458E7,
40,1533859200000,1031987.2862745097,0.0,2012354.141176471,3203784.8274509804,
41,0,0,0,0,0,
42,1534032000000,4081235.0705882353,8.0,1.0734779796078425E7,1.90744875490196E7,
43,0,0,0,0,0,
44,0,0,0,0,0,
45,0,0,0,0,0,
46,0,0,0,0,0,
47,0,0,0,0,0,
48,1534550400000,669162.3019607844,2.0,3616121.2862745095,4658220.850980392,
49,1534636800000,3253384.643137255,0.0,9127114.141176429,4279370.090196077,
50,0,0,0,0,0,
51,1534809600000,2153556.3333333335,0.0,1.9382714207843136E7,8023350.584313716,
52,1534896000000,381.7607843137255,0.0,106006.27450980394,2685233.0,
53,1534982400000,2846423.403921568,0.0,2.3104666603921566E7,1094855.48627451,
54,1535068800000,1.0073074643137252E7,6.0,1.9005847611764695E7,4805125.854901959,
55,0,0,0,0,0,
56,1535241600000,2548343.254901962,0.0,2.026810635686273E7,441989.27058823546,
57,1535328000000,165934.17254901963,0.0,378778.56862745096,24507.694117647065,
58,1535414400000,634448.9019607841,0.0,1779171.447058824,418083.70588235307,
59,0,0,0,0,0,
60,0,0,0,0,0,
61,1535673600000,1.0265324278431367E7,15.0,1.4927325133333322E7,2240418.6901960783,
62,0,0,0,0,0,
63,0,0,0,0,0,
64,1535932800000,8857961.53333333,18.0,2.7279352572548997E7,8479844.490196077,
65,1536019200000,3281274.6392156873,117.0,2.5645530780392144E7,2058037.4274509742,
66,1536105600000,6140542.890196076,0.0,1.5201314827450968E7,1.2542479749019606E7,
67,1536192000000,811355.1921568627,1.0,8121354.3254901925,1.2933702121568618E7,
68,0,0,0,0,0,
69,0,0,0,0,0,
70,1536451200000,1.142544106666666E7,45.0,2.5706418545098E7,7480239.482352921,
71,0,0,0,0,0,
72,0,0,0,0,0,
73,1536710400000,1.4400527827450968E7,257.0,2.164417427843135E7,840950.843137255,
74,0,0,0,0,0,
75,1536883200000,2969375.5647058827,0.0,4268368.364705883,3975589.23137255,
76,1536969600000,1.6007670678431332E7,8.0,2.7950648423529364E7,658848.6980392155,
77,1537056000000,4709114.717647059,22.0,2.197614821568627E7,370085.8901960785,
78,1537142400000,5919.588235294117,0.0,10705.670588235294,3619.9411764705883,
79,1537228800000,8006059.215686269,3.0,1.6613878466666652E7,2798977.5333333327,
80,1537315200000,2019547.3058823529,0.0,1.3116667819607843E7,4032816.949019607,
81,1537401600000,134981.40784313725,4.0,1847309.7647058824,9221550.160784315,
82,1537488000000,3335483.1882352955,14.0,9011023.243137253,2.322122397254902E7,
83,0,0,0,0,0,
84,1537660800000,1408028.317647059,0.0,9465019.976470584,2.301622063921567E7,
85,1537747200000,1.0223093172549011E7,50.0,2.338247907058821E7,3278193.121568627,
86,1537833600000,3893086.745098036,36.0,1.4441976960784296E7,1.3334670882352937E7,
87,1537920000000,5563859.1999999955,33.0,2.2973463886274494E7,4707783.968627445,
88,1538006400000,484627.60392156855,2.0,2933651.4823529413,2795473.572549019,
89,1538092800000,9970793.37647058,2.0,2.441262009019605E7,6754434.047058815,
90,1538179200000,6192966.1725490205,4.0,1.7683544890196063E7,1.0021492698039198E7,
91,1538265600000,897000.388235294,0.0,2700941.2392156865,1961290.1803921568,
92,1538352000000,8103354.878431369,18.0,1.8939607694117617E7,7851698.403921571,
93,1538438400000,4750066.462745098,0.0,4989152.043137254,1458682.105882353,
94,1538524800000,1.586572506274507E7,48.0,2.709509607058819E7,1651211.3882352952,
95,0,0,0,0,0,
96,1538697600000,1.1783076615686271E7,0.0,1.8437844572549004E7,3667284.498039218,
97,1538784000000,1.4321909435294107E7,61.0,2.1224156478431344E7,1340609.6784313726,
98,1538870400000,1.4713843231372535E7,0.0,1.47834291843137E7,2172873.2980392156,
99,1538956800000,8470991.639215682,28.0,2.1396356956862718E7,3380236.8078431333,
100,1539043200000,1.6378281419607837E7,8.0,2.555475110196075E7,2684169.4627450984,
101,1539129600000,1.700135421568626E7,0.0,2.359096543529408E7,549505.054901961,
102,1539216000000,1.7254115509803906E7,1.0,1.5651039266666638E7,979165.3843137255,
103,1539302400000,7363656.8274509795,0.0,9555300.10196078,4937046.254901957,
104,1539388800000,1.3204323513725486E7,11.0,1.9290425999999966E7,2399572.3215686274,
105,1539475200000,3361023.5803921567,2.0,4384657.77254902,3455091.6901960783,
106,1539561600000,1.311686731764704E7,9.0,1.86056202196078E7,3835138.5019607847,
107,0,0,0,0,0,
108,1539734400000,5396617.933333333,2.0,2813779.4509803923,741123.3294117646,
109,1539820800000,2.0436767576470543E7,12.0,1.4695848588235274E7,1745766.4117647065,
